,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
61,Thales power for 8 new workstation areas,New outlets for work stations,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3640
62,Thales power for 6 new cubical areas,New power for cubical areas,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3982
63,Hoag MOB outlet conversion for suite 275,convert outlet to Nema L6-20R,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,625
64,Hoag MOB outlet in cabinet for suite 160,Add outlet in cabinet ,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,860
68,TWC power to ice maching ,Repair power to ice maching,Anaheim, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,680
69,Charter Anaheim lighting repairs with CF parts,Repair lighting fixtures,Anaheim, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4800
70,Biorad Temp Genset,Temp genset rental 11/5 to 11/6,Irvine, 441 OC , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,23793
74,Epson Carson service warehouse lighting,Service Warehouse lighting,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,30563
75,TWC Charter Palmdale site troubleshooting,Troubleshoot neutral wiring for UPS,Palmdale, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,28280
77,Westside building new lighting,New lighting for lot and warehouse,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1685
79,Cylance disconnect furniture off hours,Disconnect furniture off hours,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,600
81,Karma Automotive Group,Tenant Improvement,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Lost,5263649
82,HBC Office Remodel,Tenant Improvement,Costa Mesa, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,74223
83,HHI Physician's Dinning,Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,13810
85,HHNB Building 21 Emergency Power Additions,Tenant Improvement,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,19512
86,Deutche Bank T8 relamp,Relamp existing fixtures,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9960
87,Deutche Bank Ave of Stars outage,Labor for outage,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2600
88,Charter Cubical power connection,New cubical power,Wilmington, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3288
90,AON,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,696678
91,Good Shephard Lutheran lighting and outlets,New outlets and lighting,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5380
92,Westside building restroom outlet and lights,LED retrofit and add outlet in restroom,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2030
94,Charter new cubical configuration,New cuical power layout,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1500
97,AAA Wiremold outlets in Honolulu and San Diego classrooms,New wiremold in classrooms,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3575
99,Thales in Everet Washington,Thales for work with Holmes Electric,Everet , 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,15311
100,County of San Diego TI with Howard Construction,Budget for TI,Oceanside, 441 OC , TI , Budget , Design/Build , Doyle , S.P. ,Awarded,20000
102,AAA Woodland Hills pole light circuit,Replace pole light circuit,Woodland Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4219
104,Imperial Rose Feeder and panel upgrade,New feeder and panel for suite 1029,Placentia, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,23063
105,Ladera Sports Center temp power boxes,Temp power connection for gym,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6292
108,Blizzard B13- Restroom Remodel,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,6342
111,Blizzard B14 HR Academy,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Jeff S , P.M. ,Awarded,180755
113,Carrington Car Charger outlet,New outlet for car charger,Anaheim, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,900
114,HHNB Pathology Admination Offices / Storage,Tenant Improvement,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Bill  , P.M. ,Awarded,29700
115,Epson Data room outlet reconfig for 2 outlets,reconfigure 2 existing whips/outlets,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1700
120,AAA Parking Lot lighting power repair,Bore and refeed parking lighitng,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,16985
124,NCHS Crouch Steet,Tenant Improvement,Oceanside, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Lost,103112
125,Blizzard #22 Demo,Demo Make Safe,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,6980
127,SpaceX Irvine new floor outlets and dishwasher outlet,Add 2 floor boxes and convert outlet,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4900
131,Ladera Sport new outlets in therepy area,New outlets in therepy area,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1550
138,California City GFARMA Center,Medical Marijuana Facility,California City, 11 LA , Specialty , Budget , Design/ Assist , Frank , Est. ,Lost,1724989
141,UMB ,Tenant Improvement,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Brian , Est. ,Lost,124955
152,RFG Foods,Equipment Relocaiton,Riverside, 440 RS , Industrial , Negotiated , Design/Build , Frank , Est. ,Awarded,213666
155,Campitelli Cookies,Tenant Improvement,Placentia, 441 OC , TI , Select Bid List , Engineered , Brian , Est. ,Awarded,26028
159,Charter cubical restack Cerritos,Restack cubicals in 2 areas,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5677
166,The Pike Ferris Wheel Retro-fit,Ferris Wheel Lighting Retro-fit,Long Beach, 11 LA , Specialty , Negotiated , Design/Build , Frank , Est. ,Awarded,18975
169,Charter Cubical Restack Lake Elsinore,Cubical restack,Lake Elsinore, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,980
170,Christ Cathedral & Sitework,Renovation and TI at Christal Cathedral,Garden Grove, 441 OC , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,Lost,4886476
175,Good Shepherd Classroom LED lighting,Classroom added lighting,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5875
177,St. Edwards Fiesta & Canopy Pwr. & Ltg.,Football Field Power and Canopy Ltg,Dana Point, 441 OC , Site , Negotiated , Design/Build , Frank , Est. ,Lost,49352
179,SpaceX paint booth connection,SpaceX Paint booth connection,Hawthorne, 11 LA , Comercial , Select Bid List , Engineered , Doyle , S.P. ,Awarded,23690
180,Providence Breeze AACC TI,Tenant Improvement,Torrance, 441 OC , TI , Select Bid List , Engineered , Brian , Est. ,Awarded,2896765
181,AAA Laguna Hills outside and stairwell lighting upgrade,Add stair and replace outside lights,Laguna Hills, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6470
183,Newport Lido Dr. Hung 6 light fixtures new suite,Relocate 6 exam lights,Newport Beach, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9200
185,Hoag San Canyon 5 new outlets,5 new outlets ,Irvine, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2100
187,Blind Kids washer/dryer and kitchen outlets,New outlets,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1320
189,HHI Belimed Washer,Add power for new Belimed Washer,Irvine, 441 OC , Hospital , Budget , Design/Build , Bill  , P.M. ,Awarded,12166
194,Charter Cubical restack Lakewood,Cubical restack,Bellflower, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2100
197,Blizzard B12- CAPPS,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,210763
198,AAA New AC breakers Rancho Cucamonga,New ac Breakers and meg feeders,Rancho Cucamonga, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3268
199,Youngs Market Print Shop machine relocation,Relocated equipment and add copiers,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6000
201,AAA Costa Mesa Conference 2 switch modification,Modify switches  w/ no dimming,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2799
204,Bbraun 100 hp grinder power,Power for 100HP grinder unit,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,63450
208,Mazda emerg circuits and lighting modification,New lights in basement and epower,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,12000
210,HHNB  East Tower Anesthesia Louge / Offices,"Relocating & adding devices , adding HR's",Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill  , P.M. ,Awarded,11322
211,HHNB  East Tower Anesthesia Work Area Remodel,Relocating existing power & data ,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill  , P.M. ,Awarded,7222
220,Konopsis Placentia Office TI,Office TI,Placentia, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,30000
221,College Hospital New server circuits near kitchen,Add 2 new circuits on phone board,Costa Mesa, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1200
223,HHI Battery light for Generator Enclosure,Add 1 fixture for generator enclosure,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,1230
225,AAA Circuit for AC unit in elevator rooms,Three circuits for elevator rooms,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4000
226,Spec suite TI 18201 #470,TI for spec suite,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Lost,55000
227,Spec Suite TI 18401 # 330,TI for spec suite,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Lost,50500
231,Ladera Sport connect furniture whips,Connect furniture whips & data racewy,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,960
236,Edwards Resilia Cleanroom with Cannon,Clean room TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,138274
239,Porsche Carson disconnect for new door opener,New disconnect for door opener,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1780
243,Charter lighitng repair Bellflower,Lighitng repair,Bellflower, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2595
244,Charter lighting repair Ontario,Lighitng repair,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3400
245,Charter new outlets and lights Garden Grove,Add outlets in warehouse desk area,Garden Grove, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2330
247,Thales KA Band Antenna #2,Thales KA Band Antenna #2,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,17950
249,Bbraun new light for parking area--1 fixture,Bbraun outside light fixture for parking,Irvine, 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,2950
250,Union Pacific LATC Train Yard,Train Yard upgrade,Los Angeles, 11 LA , Specialty , Competitive , Engineered , Steve  , Est. ,Lost,7353261
251,Blizzard- B22 IGR Remodel,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Awarded,65444
255,Pacific Alliance Medical Load Studies,6 Load studies for 72 hours,Los Angeles, 441 OC , Hospital , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,6000
259,Good Shephard Roof top panel,Roof top panel and circuit to AC unit,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8780
264,Newport Lido outlet for Dr. Farshidi Suite 209,Add oultet and circuit,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1440
267,Mazda basement outlet,Add L6-30 outlet in basement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2377
271,Hoag Memorial Nursing Education Classrom TI,Nursing Education Classrom TI,Santa Monica, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,Awarded,28984
273,AAA Costa Mesa New outlets for TV and vending machines,New outlets for TV and vending,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6175
274,Ladera Sport Motorized Flag installation,Motorized flag installation,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4470
276,Epson Carson New warehouse outlets and lighting,New warehouse lighting and outlets,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,73700
283,Blizzard IT Org - Bake Campus,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Lost,1465951
285,Thales workstation restack--48 discovery,Add poke thru devices and restack,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,24830
287,Thales remove 400HZ rotary MG set,Reroute feeder and disconnect MG,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8808
294,AAA Costa Mesa add lights to womens restrooms,add 8 lights to 4 restrooms,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3697
299,Charter Lighitng Repair Ontario,Lighitng repair,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1800
308,PIMCO 3rd floor conference room poke thru install,3 new poke thru 3rd fl conf room,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6988
312,Deutsche IR scan for Santa Ana,IR scan for annual PM,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7900
314,Charter troubleshoot outside lighting,Time on site to assist Charter,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1000
315,HHC Tustin Legacy MOB T.I. ,Tenant Improvement,Tustin, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Awarded,1060560
316,Swift Engineering 50 and 20 amp new circuits,New circuits per Steve Pascoe,San Clemente, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,11100
317,AAA Costa Mesa elevator Surge protection installation,2 new surge protectors,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10582
319,Smartstop connect new furniture cubicals,Connect new furniture cubicals,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2620
330,HHNB EAST TOWER BRANDING,Patient rooms upgrade,Newport Beach, 441 OC , TI , Select Bid List , Design/ Assist , Bill  , P.M. ,Awarded,841846
0,Bbraun Big Warehouse Fans,Install power for Big Warehouse fans,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Doyle , S.P. ,Awarded,62284
2,Epson 5th floor conference room relamp,Relamp and dimmer ceiling cans,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1770
5,Smartstop new outlets in office,New outlets in office TI work,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1310
9,Blizzard B15- Audit,Audit,Irvine, 441 OC , TI , Negotiated , Engineered , Jeff S , P.M. ,Awarded,9891
10,Blizzard B16- Audit,Audit,Irvine, 441 OC , TI , Negotiated , Engineered , Jeff S , P.M. ,Awarded,5538
11,HCTV ,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,624224
14,Toy Story Parking Lot Expansion,Expansion of Parking Lot,Anaheim, 441 OC , Site , Select Bid List , Engineered , Brian , Est. ,Lost,260425
15,Charter Add outlet in office room 103,Add one new outlet,Culver City, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,488
22,Target Parking,Irvine Spectrum So. Pkg Structure,Irvine, 441 OC , Parking Structure , Select Bid List , Engineered , Steve  , Est. ,Lost,246018
23,Captivate conduit for SmartStop,Conduit for Captivate project,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1900
27,Behr Paints Audit and Metering,Electrical Audit and Sub Metering,Santa Ana, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,48630
29,CTA replace 2 exit signs,Replace 2 exit signs ,Orange , 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,600
30,CTA replace ballast ,Replace 2 or 3 ballast,San Bernardino, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1000
31,OCC machine shop power,Power for 6 new machines,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14231
33,Bbraun replace 7 restroom fixtures,Replace 3 fixtures in 2 restrooms,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6126
34,Beach Draperies remove drops,Remove circuits and drops,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,955
37,Discovery Center Phase 2 & 4,Core and Shell,Irvine, 441 OC , Comercial , Competitive , Engineered , Brian , Est. ,Lost,4987330
38,Blizzard B9 - QA Localization,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,Awarded,758475
39,Blizzard B15 - QA Localization,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,Awarded,763485
40,Blizzard B16 - QA Localization,Tenant Improvement,Irvine, 441 OC , TI , Negotiated , Engineered , Steve  , Est. ,Awarded,4055
42,CNB Project Ascend (Phase 1),7 Floors of Tenant Improvement,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,4561181
43,SpaceX Suite 302 TI,TI for new suite,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10053
44,Blizzard Bld 20 Boring to 8 Pasteur ,Site UG Boring,Irvine, 441 OC , Site , Negotiated , Engineered , Todd L , P.M. ,Awarded,136540
45,Flying J and Pilot Parking Pole WiFi project,9 Site location CA and NV,Lodi, 11 LA , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,16500
47,Deutsche Bank LA power outage,Scheduled power outage,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2600
50,Bbraun Lab remodel,Lab Remodel,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,57547
53,Porsche Carson pole lights and kitchen outlets,3 new outlets and 2 new pole fixtures,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4900
54,Charter Ontario new outlet in outside break area,New circuit and outlet,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,980
55,Smartstop flag pole research,Research flag pole power ,Ladera Ranch, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,480
56,Charter LA Add outlet,Add oultet,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,998
57,Kaiser Bellfower Optimetry,MOB TI,Bellfower, 441 OC , TI , Budget , Engineered , Jeff P. , Est. ,Awarded,741293
59,PIMCO 11 and 12 floor restack,Restack desk on floors 11 and 12,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8988
60,Lakeshore Towers Signage Sub Metering,Add Sub Meter,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,1646
63,Kaiser Bellfower Façade,Exterior Lighting,Bellfower, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Awarded,90350
64,Cylance Tenant Improvement,Tenant Improvement,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Steve  , Est. ,Lost,2356168
65,Blizzard Bld 2 conf room 155 lighitng,Work fo rconference Technologies,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2600
66,Crown Valley Financial panel survey,Survey labor for exisitng panels,Mission Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,13900
68,UCI Medical Security Project,Card readers and security ,Orange , 441 OC , Hospital , Competitive , Design/ Assist , Doyle , S.P. ,Lost,368000
69,Anahiem Ducks T.I. Space,Tenant Improvement,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,671183
71,Deutsche relocate lighitng and refeed panel,Relocate lighitng circuits and refeed,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,28118
74,"Edwards Life Sciences, Resilia Phase 3",Clean Room Improvements,Irvine, 441 OC , Industrial , Negotiated , Engineered , Frank , Est. ,Awarded,117500
75,B-Braun Mixing Tank Replacement,Mixing Tank Replacement,Irvine, 441 OC , Specialty , Select Bid List , Engineered , Brian , S.P. ,Awarded,26900
76,Repair lobby lights Peters Canyon,Repair lobby lights,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,335
77,AAA Burbank add outlet,Add outlet for new desk location,Burbank, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1987
79,Deutsche File room panel breakers,Replace incorrect breakers,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2130
80,HHI BELIMED WASHER,Add power for new & relocated equipment,Irvine, 441 OC , Hospital , Select Bid List , Design/ Assist , Bill  , P.M. ,Awarded,12166
81,"Cerritos tower 2"" sleeve for Kaba Fusion 5th floor","2"" sleeve across hall",Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,775
82,Deutsche Bank Santa Ana outage and Panel L1CB,New breakers and outage,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5630
83,Bbraun Excell 10 overwrap - CBM,Excel 10 Machine 10 Filling/ Overwrap,Irvine, 441 OC , Industrial , Budget , Design/Build , Brian , S.P. ,Awarded,68900
85,Blizzard B5 Renovation,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Lost,489936
90,B-Braun Excel Line 10 - Dennis Phu,Excel Line 10 - B-Braun,Irvine, 441 OC , Industrial , Negotiated , Engineered , Brian , S.P. ,Awarded,24000
91,B-Braun Prewire 480v + 240v panel for shut down ,Floor work machines,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,25078
92,B-Braun Blowmolder and Filler,Hugo,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,16500
94,Bbraun (For CBM),Install Cabinet & Conduit in Mixing,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,6560
95,Edwards Life Sciences,Façade Renovation,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Brian , S.P. ,Lost,22656
98,B-Braun Main Plant,Assistance with Fire Alarm,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,13005
99,B-Braun E-3,Printer Control Cabinet,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,4890
100,B-Braun E-3,Xfmr for Printer Control Cabinet,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,3100
104,B-Braun - Main Plant PIC,Connect Controller to Nema 4X Box,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Lost,13040
105,B-Braun - Duplex Bldg,Demo Disconnect Old Fill Line #1,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,36100
106,B-Braun - CBM Vacuum Pump,Wire Vacuum pump ,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,8960
107,Edwards Life Science,Add Smoke Detectors in Cleanroom,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Brian , S.P. ,Awarded,10160
110,B-Braun - Main Plant Duplex,Flowmeter,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,8980
114,Weiland siding new service and feeders,New service and feeders,Oceanside, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,155000
116,EY LAO ," TI - Floors 3, 5, 6, 7, 8 & 15",Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,3439385
118,Blizzard B24- demo,Office Space Demo,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,Lost,10978
121,B-Braun - Main Plant,3rd Floor Mixing Lens/Lamp/Ballast,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,40735
122,Caremore Vitural Call Center,Tenant Improvement,Cerritos, 11 LA , TI , Competitive , Engineered , Frank , Est. ,Awarded,142145
123,351 Lido Suite 514--two new circuits,Two new circuits,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2823
125,HHNB Breast Center Tomo Upgrade,Upgrade of Tomo room,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,Awarded,6762
127,Edwards Life Science,Hazmat Storage Container,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,14711
128,B|Braun 1200 Valencia,Survey,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Lost,3815
130,Blizzard B5 Incubation Demo & TI,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,1092535
131,AAA Bld D load study for 7 days,7 day load study,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1100
132,B-Braun ,Pedestrian Lighting,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,4527
137,Blizzard B1 Restrooms,Office Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,49921
138,B|Braun Excel  10,Excel10 Hepa Filter power,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,Awarded,3946
139,Ladera Sport office oultet,1 new office outlet,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,400
141,B|Braun Lab,Conceal Conduits,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,Awarded,2965
144,Operating Engineers replace 2 panels,replace 2 600 amp panels,City of Industry, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,12300
145,B-Braun Titan,Titan Conveyor Support Feeder,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,Awarded,15261
146,B|Braun Boilder #1,Demo and Removal,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Brian , S.P. ,Awarded,22235
147,AAA La Quinta troubleshoot voltage issue,Troubleshoot power problem,La Quinta, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4920
148,Rockwell replace 2 and add 2 car chargers,Replace 2 and add 2 car chargers,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,18640
