,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
161,College Hospital Add New Misc Outlets,Costa Mesa, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,5000,Awarded
162,Epson cart charger outlets,Long Beach, 441 OC , Parking Structure , Select Bid List , Design/Build , Doyle , S.P. ,2490,Awarded
164,Time Warner Lot Replace parking lot pole,Santa Ana, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,4972,Awarded
165,Bbraun Conveyor modify for Can Lines (3 areas),Irvine, 441 OC , Specialty , Budget , Design/ Assist , Doyle , S.P. ,78000,Lost
166,County of Orange Server Room,Orange, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,31148,Lost
167,Yorba Linda Water District gate power,Placentia, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,2850,Awarded
168,200 Spectrum Center Tenant Improvement,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,1077822,Lost
169,Round 1 Bolwing & amusement,Santa Ana, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,20000,Awarded
171,Spectrum Giant Wheel LED Upgrade,Irvine, 441 OC , Specialty , Competitive , Design/Build , Steve  , Est. ,182416,Awarded
172,Sandvik Coromant outlet for MPOE backboard,Cypress, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3674,Lost
173,OCC Drama Lab 2 Lighting replacement,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6733,Awarded
174,McKesson F01 & F02 UPS Upgrade,Santa Fe Springs, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,42105,Lost
175,St Joe Office area TI Diamond Bar,Diamond Bar, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,5930,Lost
176,Operating Enginners Workshop Lighting,Whittier, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9600,Awarded
177,Rosehill Chapel pole fixture head upgrade,Whittier, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,15988,Lost
178,Blizzard Boring Project,Irvine, 441 OC , Site , Select Bid List , Design/Build , Todd L , Est. ,100295,Awarded
179,San Juan MOB Service Upgrade,SJC, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,49086,Awarded
180,San Jose Phase Converter,San Jose, 441 OC , Specialty , Budget , Design/Build , Doyle , S.P. ,16400,Lost
181,Bbraun Transmitters for Duplex,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,10969,Awarded
182,Deutsche Bank copier outlet conversion,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,670,Awarded
184,AAA LA conference room added data and power Building 4,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,49587,Lost
185,Blizzard B9 LATM,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,246820,Awarded
186,Blizzard B8 BIIS,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,227545,Awarded
187,Blizzard B6 Cinematics,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,152044,Awarded
189,Chevron Admin. Bldg. FA,El Segundo, 11 LA , Comercial , Select Bid List , Design/Build , Steve  , Est. ,306163,Awarded
190,HOAG Neuroscience Institute,Newport Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,36584,Lost
192,Verizon Wireless Campus Entry Bollards,Irvine, 441 OC , Site , Competitive , Design/Build , Rudy , Est. ,13192,Lost
194,Stairwell light replacment,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,440,Awarded
195,Bbraun QC Enviromental Lab TI,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,12969,Lost
196,Bbraun conduit for 3 new valves for Jim Melo,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,12394,Lost
198,Hoag E-Power 'CH-1',Irvine, 441 OC , Hospital , Budget , Design/Build , Steve  , Est. ,182322,Lost
199,Kaiser Manhattan Beach MOB,Manhattan Beach, 11 LA , TI , Select Bid List , Design/Build , Rudy , Est. ,663345,Lost
200,San Luis Rey Synchronous Condenser,Oceanside, 441 OC , Industrial , Select Bid List , Engineered , Steve  , Est. ,373778,Lost
202,Pacific Life Car Charger Outlets,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,2759,Lost
203,Pacific Life Clock Outlets,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,1284,Lost
205,Blizzard Swing Space ,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,8894,Lost
207,Pelican Hills Lobby & General Circulation,Newport Beach, 441 OC , Comercial , Select Bid List , Design/ Assist , Jeff P. , Est. ,21350,Awarded
208,Gate Power for SCE yard ,Buena Park, 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,6030,Lost
209,EMC2 Outlet extention,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1478,Awarded
210,First American UPS rack power,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,13872,Awarded
211,The Cheesecake Factory - Cerritos Mall,Cerritos, 11 LA , Comercial , Select Bid List , Engineered , Steve  , Est. ,696754,Lost
212,Youngs Diner outlets for Coffee Machines,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1788,Awarded
214,Deutche Bank 4 load studies 7 days each,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4990,Lost
215,MetroCenter power shut down,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1200,Awarded
216,Bbraun 5 new conduit drops for overwrap lines,Irvine, 441 OC , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,16880,Lost
218,Coast Imaging New Circuit and outlet for IT room,Mission Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1955,Lost
219,DSI install cf 3000 amp ATS,Anaheim, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,79900,Awarded
220,FDA - New Wall,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Steve  , Est. ,2944,Lost
221,EMC2 Two new buss ducts with feeders,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,55026,Lost
222,CBRE 91 LED pole light retrofit,Anaheim, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,93047,Lost
223,SpaceX Dragon / Triumph project,Hawthorne, 11 LA , Comercial , Select Bid List , Engineered , Rudy , Est. ,912269,Lost
224,Epson Carson new printer circuit,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2215,Awarded
225,1833 Rockwell Collins Project,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,1883000,Awarded
226,1733 Rockwell Collins Project,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,2515000,Awarded
228,Replace stairwell smoke detector,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,450,Awarded
229,First American MR16 lighting repair for main control room,Santa Ana, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,4610,Awarded
230,Mazda cubical relocation,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2720,Lost
232,Pyrocomm Propane Conduit and Power Project,San Pedro, 11 LA , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,256130,Lost
233,TWC new exterior lighting,Garden Grove, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,7475,Lost
234,Culver Studios repair damaged feeder,Culver City, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3981,Awarded
235,Dineyland EOC,Anaheim, 441 OC , Specialty , Competitive , Engineered , Rudy , Est. ,1339206,Lost
236,Young's Market 2nd Floor Offices,Tustin, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,20920,Awarded
237,Pacific Life - 45 Enterprise,Aliso Viejo, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,38034,Awarded
238,St Michaels Abbey,Silverado, 441 OC , Specialty , Budget , Design/Build , Steve  , Est. ,6282618,Lost
239,CoStar New WorkStations,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,10614,Lost
241,Park City Pole Replacemetn,Orange, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,6845,Lost
242,DSI install 1 meg genset and pull feeders,Anaheim, 441 OC , Site , Budget , Design/ Assist , Doyle , S.P. ,148000,Lost
243,Cylance,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,227089,Awarded
244,Youngs Conference room outlets and data stub,Tustin, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,870,Lost
245,Orange city square rooftop chiller replacement,Orange, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,73775,Lost
246,Replace recessed can for Fetility office at LIDO,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,460,Awarded
247,Toy Story CUP Amendment,Anaheim, 441 OC , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,97040,Awarded
248,Deutche Bank Panel L1C feeder breaker,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1934,Lost
249,First American Inverter Battery replacment,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4000,Awarded
250,Thales 53 Discovery demo project,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,4300,Lost
252,Sage Hill Tennis Complex,Newport Beach, 441 OC , Specialty , Competitive , Engineered , Steve  , Est. ,390694,Lost
253,Blizzard B4 Service Tech,Irvine, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,35400,Awarded
254,Bbraun Case Errector rework for Can Lines,Irvine, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,30000,Lost
255,Harbor Walk Condominiums Panels,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,98800,Lost
256,HHI Facilities Office & Lay Down Area Electrical Services,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,88337,Awarded
257,HHI Make Ready,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,49707,Awarded
258,HHI Pneumatic Tubes,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,24673,Awarded
259,HHI Decontamination Tank,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,7283,Awarded
260,Thales KA Band Antenna,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,8500,Awarded
261,OCC Machine Shop machine relocation,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,18801,Awarded
262,Al Bosso Tesla Outlet,Capistrono Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,996,Awarded
263,"Thales 53 Discovery 2nd Fl, Phase I",Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,208101,Lost
264,Hotel Irvine - Boardroom Lamp replacement,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,1900,Awarded
266,Bbraun Flow Meter Install,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,7627,Lost
269,Caryl Trittipo TI Laguna Beach,Laguna Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1560,Lost
271,The Boardwalk,Irvine, 441 OC , Shell , Budget , Engineered , Frank , Est. ,13870797,Lost
272,Pacific Life Food Warmer Outlets,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,14406,Lost
273,First American Cold Cathode retrofit,Santa Ana, 441 OC , TI , Budget , Design/Build , Doyle , S.P. ,35000,Lost
274,Raines Feldman TI Budget,Irvine, 441 OC , TI , Budget , Design/Build , Doyle , S.P. ,53880,Lost
275,Deustche Bank Santa Ana IR scan,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,5045,Awarded
276,Bbraun Duplex Demo P1 P2 and P5,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2402,Awarded
277,3 bedroom suite rewire and new service,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9885,Lost
278,Alice Chu 10 new recessed cans and switches,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2800,Lost
279,TWC Gate Power repair,Anaheim, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,6285,Awarded
280,Crockett & Crokett Offices,Aliso Viejo, 441 OC , TI , Select Bid List , Engineered , Rudy , Est. ,31014,Lost
281,OCC District Copier outler,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1700,Awarded
283,Rolling Hills Golf Club Survery,Rolling Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,3500,Awarded
284,Tommy Bahama,Huntington Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,81768,Lost
285,HOI Access Doors,Irvine, 441 OC , Hospital , Competitive , Design/Build , Rudy , Est. ,1135,Awarded
286,HOI Sterilizer ,Irvine, 441 OC , Hospital , Competitive , Design/Build , Rudy , Est. ,2089,Awarded
287,Oceanside Warm Shell 8 spaces,Oceanside, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,263850,Lost
288,Moutain Gate TI with Anthony Maes,Trabuco Canyon, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,5690,Lost
289,Davita,El Segundo, 11 LA , TI , Negotiated , Engineered , Frank , Est. ,1840680,Awarded
290,First American Whip modificatoin,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2150,Awarded
291,Orange County Fense AC circuits and RV outlet,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4892,Lost
292,Mesa Water UPS circuit,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,5460,Awarded
293,Rising Sun Sushi Budget,Oceanside, 441 OC , TI , Budget , Design/ Assist , Doyle , S.P. ,35000,Awarded
296,HHNB Donor Recongntion Libraray Remodel,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,76522,Lost
298,EMC2 Repair Stairwell Light,Carlsbad, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1992,Lost
299,HHCI Shady Creek Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,2393320,Awarded
302,Hoag Womens Hub,Newport Beach, 441 OC , TI , Competitive , Engineered , Ron , Est. ,121000,Lost
304,Rasta Buss Electrical repairs,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4657,Awarded
305,TWC New Office TI layout city of industry,City of Industry, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6748,Awarded
306,Century City West Parking,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Design/ Assist , Ron , P.M. ,7000,Lost
307,Swift Engineering Bld B reloc transformer and panel,San Clemente, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,11823,Awarded
308,EMC2 New 50 amp buss plugs,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3946,Awarded
309,Quintana Demo,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,151785,Lost
310,Tustin High Ball Field Container Lighting,Tustin, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,1950,Lost
312,Head Start new interior wall 3rd floor,Santa Fe Springs, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,3800,Awarded
313,Oakley 5 Minute Line,Lake Forrest, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,1605989,Lost
314,Blizzrd Parking EV charging budget,Irvine, 441 OC , Parking Structure , Budget , Design/ Assist , Doyle , S.P. ,104000,Lost
317,Valley Presbyterian Cath lab UPS,Van Nuys, 441 OC , Hospital , Negotiated , Design/Build , Doyle , S.P. ,1190,Awarded
318,Epson Warehouse lighting relocation,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9940,Awarded
319,Hotel Irvine replace feeder to 300 KVA kitchen transformer,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,29947,Awarded
320,SpaceX Recovery Boat repairs,San Pedro, 11 LA , Specialty , Select Bid List , Design/Build , Doyle , S.P. ,2500,Awarded
321,"HHCI Bldg D, Urgent Care",Irvine, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,211701,Awarded
322,EMC2 Upstair office cubical relocation,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,11734,Lost
323,Mazda Renyonlds EV power circuits,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,8770,Lost
324,Bbraun Excel Plastics Injection Mold maching,Irvine, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,79602,Awarded
325,Magic White Laundry Temp Generator Connection,City of Industry, 11 LA , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,54000,Lost
327,Bbraun new controls conduit and wire for MD Services,Irvine, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,3447,Lost
328,Regus Cerritos Towne Center Room 614,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2965,Lost
329,ASM Restack III,Anaheim, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,40186,Lost
331,HHI Fluoroscopy Remodel/Special Procedure Rm Equip,Irvine, 441 OC , Hospital , Negotiated , Engineered , Steve  , Est. ,83187,Lost
333,Cylance Two new poke thru connections,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4377,Lost
334,Bbraun Still compressor Fans,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,14770,Lost
338,OCMMC MOB,Fountain Valley, 441 OC , Hospital , Budget , Design/ Assist , Steve  , Est. ,1728758,Lost
0,Hoag West Tower 9th Floor Med Rm,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Steve  , Est. ,13591,Lost
1,AAA UPS Replacment B1 1st Floor Telco Room,Costa Mesa, 441 OC , TI , Competitive , Engineered , Frank , Est. ,67280,Lost
5,Epson Carson New Circuit to Gate,Carson, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,1000,Lost
6,Operating Trust LED retrofit phase 2,Whittier, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,7920,Lost
7,"Los Olivos Market Place Vanilla Box Improv. 8561, 8565, & 8599",Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,233380,Awarded
9,Pimco- 7-8 & 17-18,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jeff S , P.M. ,148645,Awarded
10,Time Warner Corona for Datacom,Corona, 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,9723,Lost
11,PacLife new outlets and data stubs,Aliso Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1400,Lost
12,"Hoag Hospital, Med Air Compressor Replacement",Newport Beach, 441 OC , Hospital , Competitive , Engineered , Steve  , Est. ,25694,Lost
13,Mesa Water add new feeder for UPS,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4285,Lost
14,Thales Customer Experience,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,186576,Lost
15,OCC Pavillion feeder replacement,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,60897,Awarded
16,OCC Bakery outlets above prep tables,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,1287,Awarded
17,OCC Skill Center 110 new machines and outlets,Costa Mesa, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,4671,Lost
18,The Ritz Palm tree lighting,Newport Beach, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,5894,Lost
19,Youngs Door Closers,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3450,Lost
20,UC Path Lighting Repair,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3000,Awarded
21,Toyota Explosion proof fire alarm raceways,Gardena, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,3000,Awarded
22,Westside Building Lobby remodel,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,9987,Lost
23,Westside Building warehouse lighting repair,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2875,Lost
24,Bbraun Duplex line 2 and 3 vac pumps,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,14914,Awarded
25,Bonsall village exterior lighting project,Bonsall, 441 OC , Site , Budget , Design/Build , Doyle , S.P. ,59080,Lost
26,Hotel Irvine Parking Lot automation,Irvine, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,1950,Awarded
27,Youngs Storage Room Convert to office,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,8800,Lost
28,Sand Canyon Business Park,Irvine, 441 OC , Shell , Competitive , Engineered , Frank , Est. ,3250483,Lost
29,HHI ED Expansion Design Build Services,Irvine, 441 OC , Hospital , Negotiated , Design/Build , Frank , Est. ,170493,Awarded
30,Prudential California Carrel Removal ,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,7993,Lost
31,Thales Engineer Labs ,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,812961,Lost
32,Hoag Health Center Package B & C,Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,2526185,Awarded
33,Quantum Fuel Crane Power ,Lake Forest, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,3850,Lost
34,Blizzard Building #1 and #3 budget,Irvine, 441 OC , TI , Budget , Design/Build , Jeff S , P.M. ,291445,Lost
35,BioRad standby labor for schedule outage,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,1500,Awarded
36,Telepacific New  underfloor outlets,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6620,Awarded
40,"PacLife Newport Ground, 4 and 5 floor restack",Newport Beach, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,45011,Awarded
41,Anaheim Corp Plaza Elevator breaker replacement,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,898,Awarded
42,Boeing AC Project,Huntington Beach, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,11170,Lost
43,ASM Office Split,Anaheim, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,3565,Lost
44,Bbraun E3 Control Panel for roof valves,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,19838,Awarded
46,Hoag Urgent Care Los Olivos,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,156514,Lost
47,Chevron CRC Pre-action,ElSegundo, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,8000,Lost
49,SpaceX Compactor relocation at Xbox building,Hawthorne, 11 LA , Site , Select Bid List , Design/Build , Doyle , S.P. ,55400,Lost
50,Epson Long Beach new outlets for phone switch,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1860,Lost
51,Epson Carson Move Supress Printed to Glenn Curtiss,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1470,Lost
52,Deutsche Bank TI budget,Santa Ana, 441 OC , TI , Budget , Design/ Assist , Doyle , S.P. ,283165,Lost
53,Telepacific new power at rack,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,4992,Awarded
54,SpaceX Chadron Power Upgrade,Hawthorne, 11 LA , Site , Select Bid List , Engineered , Frank , Est. ,151076,Lost
55,SpaceX Main Building Power Upgrade,Hawthorne, 11 LA , Site , Budget , Engineered , Frank , Est. ,634561,Lost
56,SpaceX Xbox Building Utility power upgrade,Hawthorne, 11 LA , Site , Select Bid List , Engineered , Frank , Est. ,287002,Lost
57,Bbraun engineering cube reconfig,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,2800,Lost
59,Hoag 3 West Demo,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Steve  , Est. ,51554,Lost
60,Thales Cafeteria Pricing Plan,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,369220,Lost
61,Deutsche Bank Survey for new Syska design,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,8000,Awarded
62,Time Warner Corona Warehouse Fixture Relocation,"Corona
", 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3100,Awarded
63,Bbraun Duplex line 2 & 3 Mezzanine work,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,1800,Lost
64,Youngs Market cubical addtions 2 areas,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,6980,Awarded
65,Hotel irvine Repull emergency feed to ATS,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3800,Awarded
66,SpaceX HT-01 Third Floor Phase 2,Hawthorne, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,568344,Lost
67,Hoag Automated Specimen Processor,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Bill  , P.M. ,11900,Awarded
68,Irvine Spectrum Wheel control cabinet replacment,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,6770,Awarded
69,Hoag OB ED and Retail,Newport Beach, 441 OC , Comercial , Select Bid List , Engineered , Brian , Est. ,26595,Lost
70,"Hoag Bldg 520, Suite 270",Newport Beach, 441 OC , Comercial , Select Bid List , Engineered , Frank , Est. ,48956,Lost
71,"Hoag 307 Placentia, Suite 100&109",Newport Beach, 441 OC , Comercial , Select Bid List , Engineered , Brian , Est. ,140434,Lost
72,Telepacific white road,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3948,Lost
73,Carrington Mortgage Generator connection,Anaheim, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,142535,Awarded
74,First American Generator Lighting replacement,Santa Ana, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,30984,Awarded
76,Irvine Company MPC Eventspace and Ct yard Enhancements,Irvine, 441 OC , Site , Select Bid List , Engineered , Brian , Est. ,21753,Lost
77,Frito UPS removal,La Mirada, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1600,Lost
78,Sand Canyon Monument Signs,Irvine, 441 OC , Site , Select Bid List , Design/Build , Steve  , Est. ,10386,Lost
79,Shady Creek - E.V. Chg. Sta.,Irvine, 441 OC , Site , Select Bid List , Design/Build , Steve  , Est. ,7134,Lost
80,Morningstar Parking Garage,Whittier, 11 LA , Parking Structure , Select Bid List , Engineered , Brian , Est. ,262054,Lost
81,Anaheim Corp Park Towne Center IR repairs,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,1690,Awarded
84,Deutsch Core & Shell,Los Angeles, 11 LA , Shell , Competitive , Engineered , Steve  , Est. ,660189,Lost
85,Bio Rad Hull 120 Replacement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,30337,Lost
86,Anaheim Corp Center Circuit repairs,Anaheim, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,3300,Lost
87,Banc jof California Phase 1,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,10135,Lost
88,Banc of California Phase 2 Fixtures only,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,460643,Lost
