Est. #,Project Name, ,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
20-169,Baxter Add surge suppressors ,Add surge suppressors,17511 Armstrong,Irvine,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/4/2020," $13,378 "," $13,378.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-170,Baxter add speakers and reciever for clean room,Add speakers and reciever in clean room,17511 Armstrong,Irvine,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/4/2020," $2,987 "," $2,987.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-171,PHS LCM San Pedro Emergency Generator,New Emer. Generator with Switchgear,1300 West 7th Street,San Pedro,CA, 11 LA ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,3/17/2020," $855,870 ",," $14,717 "," $8,187 "," $14,490 "," $17,500 ",,,15.00%,5.00%,,Pending,30%," $256,761 ",,,,,,,,,DEB,Kyle Patterson,,,,,,,,,,,,,,,,,,,,,
20-172,AAA Parking Lot repair between poles D1 and D5,New bore and conduit between 2 poles,3333 Fairview Rd,Costa Mesa,CA, 441 OC , 1 , Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/9/2020," $16,922 "," $16,922.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-173,FVRH SPD Equipment Replacement,"Replacement of Washers, Sterilizers ",17100 Euclid St.,Fountain Valley,CA, 441 OC ," 1,210 ", Hospital , Select Bid List , Engineered , Don V , Est. , CA ,3/24/2020,, $-   ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-174,B-Braun Medical ,Tenant Improvement - Parking lot Lighting,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/9/2020," $11,239 "," $11,239.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-175,1400 E Walnut - DBAC Inc.,Tenant Improvement - Lighting and Rec.,"1400 E, Walnut",Fullerton,CA, 441 OC , 1 , Comercial , Competitive , Design/ Assist , Tyler , S.P. , CA ,3/16/2020," $26,113 "," $26,113.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-176,Wellington Foods Inc.,Tenant Improvement - Line 6 and 2 Rec,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020," $5,475 "," $5,475.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-177,Wellington Foods Inc.,Tenant Improvement - Overhead Door Add,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020," $1,943 "," $1,943.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-178,Wellington Foods Inc.,Tenant Improvement - Add (2) Forklift Chargers,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020," $6,185 "," $6,185.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-179,Wellington Foods Inc.,Tenant Improvement - Panel Upgrade,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020, $- , $-   ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-180,Wellington Foods Inc.,Tenant Improvement - Gate Pwr (2) Locations,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020," $24,901 "," $24,901.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-181,Wellington Foods Inc.,Tenant Improvement - Pwr (2) Rooftop Exaust fans,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020," $7,660 "," $7,660.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-182,Wellington Foods Inc.,Tenant Improvement - Sinlge Line Audit,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/11/2020, $- , $-   ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-183,Hoag Load Studies for Nelson,5 load studies,,Irvine,CA, 441 OC , 1 , Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/10/2020," $5,200 "," $5,200.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-184,Ladera Ranch Parking Fixture,Replacement parking fixture with sensor,2 Terrace,Ladera Ranch,CA, 441 OC , 1 , Parking Structure , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/8/2020, $460 , $460.00 ,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-185,Edwards Lifesciences,Labor to Remove lights for Inspection,1 Edwards Way,Irvine,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/14/2020, $898 , $898.00 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-186,B-Braun Medical,Tenant Improvement - Cubicle addition,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/11/2020," $7,694 "," $7,694.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-187,Equity Partners Door Power,Power to doors for ADA motors,17777 Center Court N.,Cerritos,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/11/2020," $9,980 "," $9,980.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-188,B-Braun Medical,Tenant Improvement - Em Panel and Feed,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/13/2020," $55,263 "," $55,263.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-189,AAA add outlet 3rd floor data rack,Add outlet 3rd floor data rack,3350 Harbor,Costa Mesa,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/12/2020," $1,688 "," $1,688.00 ",,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-190,B-Braun Medical,Temporary Service - DPR,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/12/2020," $6,125 "," $6,125.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-191,B-Braun Medical,Tenant Improvements Duplex office,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/12/2020," $3,872 "," $3,872.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-192,B-Braun Medical,Tenant Improvemants Excel Pack 90 Maint office ,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Select Bid List , Design/Build , Tyler , S.P. , CA ,3/6/2020,"$1,845 "," $1,845.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-193,Petsmart R&R resigster power poles,disconnect and reconnect power poles,El Camino ,Tustin,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/13/2020," $2,410 "," $2,410.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-194,Malcom International reroute 2 conduit to new vault,New vault and conduit for reroute,4999 Green River Rd,Corona,CA, 441 OC , 1 , Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/13/2020," $19,986 "," $19,986.00 ",,,,,,,20.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-195,UCI Center for Child Health,Prequalification Pursuant ,Jamboree Rd & Birch St,Irvine,CA, 441 OC ," 165,000 ", Hospital , Select Bid List , Design/Build , Frank , Est. , CA ,3/20/2020, $- , $-   ,,,,,,,,,,Prospect,20%, $- ,,,,,,,,,Swinerton,David Wade,,,,,,,,,,,,,,,,,,,,,
20-196,Weedmaps outlets for racks,new circuits and outlets for racks,41 & 43 Discovery,Irvine,CA, 441 OC , 1 , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/16/2020," $5,808 "," $5,808.00 ",,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-197,Wellington Foods Inc.,Tenant Improvements - New Feeder Assm,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/17/2020," $6,501 "," $6,501.00 ",,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-198,Wellington Foods Inc.,Tenant Improvements - New Charger Stati,1930 California Ave.,Corona,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/17/2020, na ,#VALUE!,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-199,B-Braun Medical - New Mixing Complex,Create new Mixing Complex,2525 McGaw Avenue,Irvine,CA, 441 OC ," 6,980 ", Industrial , Select Bid List , Engineered , Josh  , Est. , CA ,4/1/2020," $844,921 ", $121.05 ," $(17,423)",,,,,,15.00%,3.00%,,Pending,30%," $253,476 ",,,,,,,,,Cannon,Mike Lambrose,,,,,,,,,,,,,,,,,,,,,
20-200,Edwards Lifesciences,Tenant Improvements - Relocating Oven Feeder,1 Edwards way,Irvine,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,3/19/2020," $2,811 "," $2,811.00 ",,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-201,TikTok Production Suite,Tenant Improvement New Studio,5800 Bristol Parkway,Culver City,CA, 11 LA ," 4,000 ", TI , Select Bid List , Engineered , Don V , Est. , CA ,3/27/2020,, $-   ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-202,9000 Wilshire - Beverly Hills,"Core & Shell 3 Levels Office, 4 Levels Pkg",9000 Wilshire Blvd.,Beverly Hills,CA, 11 LA ," 96,585 ", Shell , Select Bid List , Engineered , Steve  , Est. , CA ,4/3/2020," $2,441,754 ", $25.28 ,,,,,,,,,,Pending,30%," $732,526 ",,,,,,,,,Skanska USA Building,Steve Hawkins,,,,,,,,,,,,,,,,,,,,,
20-203,CHR Carson T.I.,Tenant Improvement Office,21900 S. Wilmington Ave,Carson,CA, 11 LA , 1 , TI , Budget , Engineered , Doyle , Est. , CA ,3/27/2020," $550,050 "," $550,050.00 ",,,,,,,10.00%,5.00%,,Not Bid,0%, $- ,,,,,,,,,Smith & Severson,,,,,,,,,,,,,,,,,,,,,,
20-204,HHCNB Jamboree MOB,Tenant Improvement MOB - Design Build,4699 Jamboree Road,Newport Beach,CA, 441 OC ," 24,000 ", TI , Negotiated , Design/Build , Frank , Est. , CA ,,,,,,,,,,,,,Bidding,50%, $- ,,,,,,,,,Snyder Langston,Lee Watkins,,,,,,,,,,,,,,,,,,,,,
20-205,AAA Auto Club Generator Replacment,Generator Upgrade,3333 Fairview Rd,Costa Mesa,CA, 441 OC , 1 , Specialty , Competitive , Engineered , Don V , Est. , CA ,4/8/2020,,,,,,,,,,,,Bidding,30%, $- ,,,,,,,,,AAA,Marilyn Biscotti,,,,,,,,,,,,,,,,,,,,,
20-206,USC Keck Load Studies,Load Studies for 6 panels ,1500 San Pablo,Los Angeles,CA, 441 OC , 1 , Hospital , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,3/27/2020," $6,200 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-207,Wellington Foods Inc.,Tenant Improvements - Forklift Charg #2,1930 California Ave.,Corona,CA, 441 OC ,1, TI , Negotiated , Design/Build , Tyler , S.P. ,,," $2,543 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-208,Bbraun Medical Inc.,Tenant Improvements - Refrigerator feed,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , TI , Negotiated ,, Tyler , S.P. ,,," $9,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-209,Macon - 2nd Floor,Tenant Improvement,4000 Macarthur Blvd,Newport Beach,CA, 441 OC ," 11,700 ", TI , Select Bid List , Engineered , Josh  , Est. , CA ,4/7/2020,,,,,,,,,,,,Bidding,30%, $- ,,,,,,,,,Turelk,Alex Lee,,,,,,,,,,,,,,,,,,,,,
20-210,Pathway Capital,Tenant Improvement,18565 Jamboree Road,Irvine,CA, 441 OC ," 19,038 ", TI , Select Bid List , Engineered , Don V , Est. , CA ,4/9/2020," $388,977 ", $20.43 ,,,,,,,15.00%,2.50%,,Pending,30%," $116,693 ",,,,,,,,,HBC,N. Miller,,,,,,,,,,,,,,,,,,,,,
20-211,Bbraun Medical Inc.,Tenant Improvement - Assembly Line C,,,CA, 441 OC ,, TI , Negotiated , Design/Build , Tyler , S.P. ,,," $22,995 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-212,FVRH Remove cable for temp genser,Remove cable and store on site,Euclid St,Fountain Valley,CA, 441 OC , 1 , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,,3/31/2020," $7,100 ",,,,,,,,15.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-213,HHI X Parking Structures,"Parking Structure, Design Build",16200 Sand Canyon Ave,Irvine,CA, 441 OC ," 285,000 ", Parking Structure , Competitive , Design/Build , Frank , Est. , CA ,4/7/2020," $1,079,564 ", $3.79 ," $977,389 "," $51,304 "," $76,642 "," $4,523 "," $90,119 "," $216,513 ",15.00%,5.00%,,Pending,30%," $323,869 ",,,,,,,,,McCarthy,Amit Kale,Largo Concrete,Richard Fiz,,,,,,,,,,,,,,,,,,,
20-214,BBM - Temp Power,Special Projects ,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,,,,,,,,,,,,,Pending,30%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-215,BBM - Control Circuit,Special Projects ,2525 McGaw Avenue,Irvine,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,4/3/2020," $2,462 ",,,,,,,,,,,Pending,30%, $739 ,,,,,,,,,B|Braun,Bob Panza,,,,,,,,,,,,,,,,,,,,,
20-216,ELS - Boiler Control Circuit ,Special Projects ,1 Edwards Way,Irvine,CA, 441 OC , 1 , Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,,,,,,,,,,,,,Pending,30%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-217,ELS - UPS Preventaitive Maintenance,Special Projects ,1 Edwards Way,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,,,,,,,,,,,,,Pending,30%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-218,AAA Inserting Room move New Machines,Forerunner 2 and Producer machine,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/8/2020," $13,867 ",,,,,,,,15.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-219,BBM - Injection Molder,Special Projects ,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Tyler , S.P. , CA ,4/13/2020," $34,477 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,B|Braun,A Udobot,,,,,,,,,,,,,,,,,,,,,
20-220,CVMC Hospital Addition,OSHPD Hospital Addition,2525 McGaw Avenue,Carson City,NV, 401 Reno ," 44,000 ", Hospital , Budget , Engineered , Frank , Est. , NV ,4/14/2020,,,,,,,,,,,,Bidding,10%, $- ,,,,,,,,,Gilbane,,,,,,,,,,,,,,,,,,,,,,
20-221,Blizzard B19 - Film Studio,Tenant Improvement - ROM,16277 Laguna Canyon Rd.,Irvine,CA, 441 OC ," 4,298 ", TI , Budget ,, Steve  , Est. , CA ,4/17/2020," $125,690 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,HBC,Kaz Mulcahy,,,,,,,,,,,,,,,,,,,,,
20-222,Barlow Respiratory Hospital Clinical Lab Relocation,OSHPD Tenant Improvement,2000 Stadium Way,Los Angeles,CA, 11 LA , 757 , Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,4/23/2020," $422,628 ",," $36,619 ",,,,,,15.00%,5.00%,,Pending,50%," $211,314 ",,,,,,,,,Snyder Langston,Kevin Zhu,,,,,,,,,,,,,,,,,,,,,
20-223,Kaiser Watts DD Drawings ,Three Story MOB w/ Day Care Center,1525 E. 103rd Street,Los Angeles,CA, 11 LA ," 61,131 ", Hospital , Budget , Engineered , Steve  , Est. , CA ,4/30/2020," $5,089,324 ", $83.25 ,,,,,,,,,,Bidding,, $- ,,,,,,,,,Swinerton,Scott Lauderdale,,,,,,,,,,,,,,,,,,,,,
20-224,HHNB Confernce Center Neuro Surgical Theater,Tenant Improvement,One Hoag Drive,Newport Beach,CA, 441 OC , 550 , Hospital , Budget , Engineered , Frank , Est. , CA ,4/21/2020,,,,,,,,,15.00%,10.00%,,Bidding,50%, $- ,,,,,,,,,So. Coast Contrs.,D. Churnock,,,,,,,,,,,,,,,,,,,,,
20-225,CRBE 2600 Michelson Submeter,Add 3 submeters,2600 Michelson,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,4/22/2020," $7,211 ",,,,,,,,,,,Pending,50%," $3,606 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-226,Hoag Sand Canyon MOB Lighitng Repair,Repair lighitng on campus,San Canyon,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,4/22/2020, $895 ,," $3,000 ",,,,,,,,,Pending,75%, $671 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-227,Hoag Newport Cancer Center transformer replacement,Replace 750KVA transformer,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,5/1/2020," $45,934 ",,,,,,,,15.00%,5.00%,,Pending,20%," $9,187 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-228,Pacific Life Conference Center,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ," 16,350 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,4/30/2020,, $-   ,,,,,,,,,,Bidding,30%, $- ,,,,,,,,,HBC,Sarah Webb,,,,,,,,,,,,,,,,,,,,,
20-229,Smartstop add oultets on wall,Add new circuits and outlets,111 Corporate Drive,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/1/2020," $3,254 ",,,,,,,,15.00%,5.00%,,Pending,15%, $488 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-230,Sazerac power for IDF and MDF for Datacom,Add new circuits and bore for Datacom,2202 E. Del Amo,Carson,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/7/2020," $19,163 ",,,,,,,,12.00%,5.00%,,Pending,20%," $3,833 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-231,SpaceX HT38 new feeder and lighting,New lighting and feeder with panel,3341 W. El Segundo,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/5/2020," $69,039 ",,,,,,,,15.00%,5.00%,,Pending,70%," $48,327 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-232,Uline,Distribution Center,,Ontario,CA, 477 SB ," 1,100,000 ", Comercial , Select Bid List , Design/Build , Jeff P. , Est. , CA ,5/6/2020,,,,,,,,,12.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,Apollo,,Sunwest,,,,,,,,,,Rate Schedule
20-233,Hoag Newport Sump power for City of Newport,Site work for power to pump,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-234,MV CC 3rd Floor GI & Endoscopy,TI on 3rd floor of existing MOB,27799 Medical Center Rd.,Mission Viejo,CA, 441 OC ," 26,623 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,5/15/2020,,,,,,,,,,,,Bidding,, $- ,,,,,,,,,DBAC,John Peschelt,Snyder Langston,Charles Banks,,,,,,,,,,,,,,,,,,,
20-235,Kaiser Bellflower Site Research and Load Studies,Research and load studies,,Bellflower,CA, 11 LA ,, Hospital , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,5/8/2020,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-236,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-237,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-238,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-239,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-240,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-241,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-242,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-243,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-244,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-245,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-246,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-247,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-248,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-249,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-250,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-251,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-252,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-253,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-254,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-255,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-256,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-257,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-258,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-259,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-260,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-261,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-262,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-263,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-264,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-265,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-266,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-267,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-268,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-269,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-270,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-271,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-272,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-273,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-274,,,,,,,,,,,,,,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
