Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date,  Base Bid  , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments,
15-157,Capital city LED retrofit for CA Fast Auto Loans,Remove and reinstall lamps and exits,Various Sites,Various Cities,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,2/16/2015," $11,100 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-158,Thales GFCI and injection test for main breaker,GFCI and injection test for main,58 Discovery,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , S.P. , CA ,2/16/2015," $7,800 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,Thales ,Tim Gray,,,,,,,,,,,,,,,,,,,,,,
15-159,Thales Campus Master Plan,Tenant Improvement,"48, 51, 53, 58 Discovery",Irvine,CA, 441 OC ," 26,707 ", TI , Budget , Design/Build , Frank , Est. , CA ,2/24/2015," $244,502 ", $9 ," $180,192 "," $147,497 ",,,,,,,,Unknown,2%, $- ,,,,,,,,,Turelk,Mike Turi,,,,,,,,,Accord,,,,,,,,,,,,,
15-160,Marina Del Rey Hospital Nursing Unit & HVAC Upgrades ,Nursing unit upgrades,4650 Lincoln Blvd.,Marina Del Rey,CA, 11 LA ," 6,410 ", Hospital , Competitive , Engineered , Rudy , Est. , CA ,2/23/2015," $82,871 ", $13 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Questar,Ed ,,,,,,,,,,,,,,,,,,,,,, 
15-161,Hoag 2nd floor Nursing receptacles addition,Add receptacles 2nd floor nursing tower,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,2/19/2015," $10,985 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Hoag,John Hirsch,,,,,,,,,,,,,,,,,,,,,,
15-162,College Hospital Add New Misc Outlets,Add new outlets per direction,301 Victoria,Costa Mesa,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/20/2015," $5,000 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,College Hospital,Anthony Gonzalez,,,,,,,,,,,,,,,,,,,,,,
15-163,Epson cart charger outlets,New conduit and outlets for golf carts,3780 Kilroy Airport Way,Long Beach,CA, 441 OC ,, Parking Structure , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/21/2015," $2,490 ",#DIV/0!, $500 ,,,,,,,,,Awarded,, $- ,,,,,,,,,Epson,Irene Tice,,,,,,,,,,,,,,,,,,,,,,
15-164,Harbor Walk Condominiums,Fire alarm elevator recall,,,CA, 11 LA ,, Fire Alarm , Select Bid List , Design/ Assist , Ron , P.M. , CA ,2/24/2015," $8,300 ",,,,,,,,,,,Lost,, $- ,,,,,,,Cosco Fire Protection,,,,,,,,,,,,,,,,,,,,,,,,,
15-165,Time Warner Lot Replace parking lot pole,Furnish and install replacement 30' pole,1706 E. 1st street,Santa Ana,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/24/2012," $4,972 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,TWC,Rosa Hill,,,,,,,,,,,,,,,,,,,,,,
15-166,Bbraun Conveyor modify for Can Lines (3 areas),Modify Exceed conveyor budget,2525 MacGaw,Irvine,CA, 441 OC ,, Specialty , Budget , Design/ Assist , Doyle , S.P. , CA ,2/26/2015," $78,000 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Can Lines,Jeff Nelson,,,,,,,,,,,,,,,,,,,,,,
15-167,County of Orange Server Room,Server Room,500 State College,Orange,CA, 441 OC ,, TI , Select Bid List , Engineered , Jeff P. , Est. , CA ,2/27/2015," $31,148 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,Turelk,Jeff Turi,,,,,,,,,,,,,,,,,,,,,,
15-168,Yorba Linda Water District gate power,New conduit for new gates,1717 E. Miraloma Ave,Placentia,CA, 441 OC ,, Site , Select Bid List , Engineered , Doyle , S.P. , CA ,2/26/2015," $2,850 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Harris Fence Co.,Daniel Blanciak,,,,,,,,,,,,,,,,,,,,,,
15-169,200 Spectrum Center Tenant Improvement,Tenant Improvement,200 Spectrum Center,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,2/27/2015," $1,077,822 ",#DIV/0!," $1,275,237 ",,,,,,,,,Lost,2%, $- ,,,,,,,,,HBC,Ryan Fraser,,,,,,,,,,,,,,,,,,,,,,
15-170,Round 1 Bolwing & amusement,Fire alarm,2800 N. Main St,Santa Ana,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,2/27/2015," $20,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,Red Hawk,,,,,,,,,,,,,,,,,,,,,,,
15-171,Tustin Rehabilitation exterior lighting,Replace existing outside with LED,14511 Carfax Drive,Tustin,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,2/27/2015," $3,267 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,Tustin Rehab,Raymond Mackie,,,,,,,,,,,,,,,,,,,,,,
15-172,Spectrum Giant Wheel LED Upgrade,LED Upgrade,,Irvine,CA, 441 OC ,, Specialty , Competitive , Design/Build , Steve  , Est. , CA ,3/10/2015," $182,416 ",#DIV/0!," $87,512 "," $25,298 "," $37,650 "," $3,800 "," $16,000 ",,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-173,Sandvik Coromant outlet for MPOE backboard,Add new circuit and outlet at MPOE,6400 Gateway Drive,Cypress,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/4/2015," $3,674 ",#DIV/0!," $1,116 ",,,,,,,,,Lost,2%, $- ,,,,,,,,,Sandvik,Christina Topffer,,,,,,,,,,,,,,,,,,,,,,
15-174,OCC Drama Lab 2 Lighting replacement,Replace fixtures in Drama Lab 2,Fairview and Adams,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/6/2015," $6,733 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,OCC,Randy Key,,,,,,,,,,,,,,,,,,,,,,
15-175,McKesson F01 & F02 UPS Upgrade,Upgrade UPS System,9501 Norwalk Blvd.,Santa Fe Springs,CA, 11 LA ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,3/9/2015," $42,105 ",#DIV/0!," $5,216 ",,,,,,,,,Unknown,5%, $- ,,,,,,,,,McKesson,M Ver Halen,,,,,,,,,,,,,,,,,,,,,,
15-176,St Joe Office area TI Diamond Bar,Add power and data for new work areas,1514 S. Valley Vista Dr.,Diamond Bar,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/10/2015," $5,930 ",#DIV/0!, $92 ,,,,,,,,,Unknown,2%, $- ,,,,,,,,,St. Joseph Medical,Andy Quinlin,,,,,,,,,,,,,,,,,,,,,,
15-177,Operating Enginners Workshop Lighting,Lighting upgrade for workshop,2190 S. Pellissier Place,Whittier,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/10/2015," $9,600 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Op Eng Trust,Bryan Crowe,,,,,,,,,,,,,,,,,,,,,,
15-178,Rosehill Chapel pole fixture head upgrade,Replace pole heads with LED,3888 Workman Mill Rd,Whittier,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/10/2015," $15,988 ",#DIV/0!, $500 ,,,,,,,,,Lost,2%, $- ,,,,,,,,,RoseHills,Joe Menchaca,,,,,,,,,,,,,,,,,,,,,,
15-179,Blizzard Boring Project,Install UG Conduit,,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Todd L , Est. , CA ,4/13/2015," $100,295 ",#DIV/0!,,,,,,,,,,Awarded,90%, $- ,,,,,,,,,Briggs Datacom,My,,,,,,,,,,,,,,,,,,,,,,
15-180,San Juan MOB Service Upgrade,Upgrade MSB from 1600A to 2500A,31001 Rancho Veijo Rd,SJC,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,3/12/2015," $49,086 ",#DIV/0!," $7,083 "," $14,746 "," $10,387 ",,,,,,,Awarded,50%, $- ,,,,,,,,,KPRS,P. Livermore,,,,,,,,,,,,,,,,,,,,,,
15-181,San Jose Phase Converter,Add Phase convertor for 3 phase pwr,,San Jose,CA, 441 OC ,, Specialty , Budget , Design/Build , Doyle , S.P. , CA ,3/11/2015," $16,400 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,Ron Corradini,,,,,,,,,,,,,,,,,,,,,,
15-182,Bbraun Transmitters for Duplex,New transmitter boxes for Duplex,2525 MacGaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/12/2015," $10,969 ",#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,Bbraun,Stephen Schmidt,,,,,,,,,,,,,,,,,,,,,,
15-183,Deutsche Bank copier outlet conversion,Convert outlet from 208 to 120 volt,,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/13/2015, $670 ,#DIV/0!,,,,,,,,,,Awarded,2%, $- ,,,,,,,,,JLL,Brad Gaston,,,,,,,,,,,,,,,,,,,,,,
15-184,SpaceX new feeder ROM,Various ROMs for feeders,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,3/13/2015," $392,070 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-185,AAA LA conference room added data and power Building 4,New data and power feeds for meeting room,2601 S. Figuroa,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/18/2015," $49,587 ",#DIV/0!,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,AAA,Nuja Acosta,,,,,,,,,,,,,,,,,,,,,,
15-186,Blizzard B9 LATM,Tenant Improvement,16257 Laguna Caynon Rd.,Irvine,CA, 441 OC ," 10,067 ", TI , Select Bid List , Design/Build , Steve  , Est. , CA ,3/25/2015," $246,820 ", $25 ,,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Nima Namdar,HBC,Nima Namdar,,,,,,,,,,,,,,,,,,,,,,
15-187,Blizzard B8 BIIS,Tenant Improvement,16265 Laguna Caynon Rd.,Irvine,CA, 441 OC ," 10,067 ", TI , Select Bid List , Design/Build , Steve  , Est. , CA ,3/25/2015," $227,545 ", $23 ,,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Nima Namdar,HBC,Nima Namdar,,,,,,,,,,,,,,,,,,,,,,
15-188,Blizzard B6 Cinematics,Tenant Improvement,16245 Laguna Caynon Rd.,Irvine,CA, 441 OC ," 6,340 ", TI , Select Bid List , Design/Build , Steve  , Est. , CA ,3/25/2015," $152,044 ", $24 ,,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Nima Namdar,HBC,Nima Namdar,,,,,,,,,,,,,,,,,,,,,,
15-189,Berkadia Irvine,,,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,3/23/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-190,Chevron Admin. Bldg. FA,Fire Alarm Upgrade,,El Segundo,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Steve  , Est. , CA ,3/20/2015," $306,163 ",#DIV/0!," $50,670 ",,,,,,,,,Awarded,5%, $- ,,,,,,,,,Red Hawk,Daniel O'Connell,,,,,,,,,,,,,,,,,,,,,,
15-191,HOAG Neuroscience Institute,Neuroscience office TI,"1 HOAG Drive, Suite #340",Newport Beach,CA, 441 OC ," 1,091 ", TI , Competitive , Engineered , Rudy , Est. , CA ,3/30/2015," $36,584 ", $34 ,,,,,,,,,,Lost,5%, $- ,,,,,,,,,DEB,Giovanni Cangelosi,,,,,,,,,,,,,,,,,,,,,,
15-192,OCC Recycle conduit and outlet,New outlet and data conduit for scale,Fairview and Adams,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , P.M. , CA ,3/20/2015," $1,680 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,OCC,Mike Carey,OCC,Mike Carey,,,,,,,,,,,,,,,,,,,,,,
15-193,Verizon Wireless Campus Entry Bollards,Remove and replace existing bollards,15505 Sand Canyon ,Irvine,CA, 441 OC ,, Site , Competitive , Design/Build , Rudy , Est. , CA ,3/24/2015," $13,192 ",#DIV/0!,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Questar,Steve Logan,,,,,,,,,,,,,,,,,,,,,,
15-194,New outlets for Town Center Cerritos,Add outlets in 7 offices,12898 Towne Center Dr,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,2/22/2015," $10,800 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Intelinet,Gabe Gonzales,,,,,,,,,,,,,,,,,,,,,,
15-195,Stairwell light replacment,Replace stairwell lighting,11 Alabaster,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/24/2015, $440 ,#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,Federica Venturi,,Federica Venturi,,,,,,,,,,,,,,,,,,,,,,
15-196,Bbraun QC Enviromental Lab TI,Wiremold and new circuits,2525 MacGaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/25/2015," $12,969 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Bbraun,Steve Hewes,,,,,,,,,,,,,,,,,,,,,,
15-197,Bbraun conduit for 3 new valves for Jim Melo,Install CF switches for Valves,2525 MacGaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,3/25/2015," $12,394 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,BBraun,Jim Melo,,,,,,,,,,,,,,,,,,,,,,
15-198,Hoag SOC renodel Budget,Remodel budget,1 Hoag Drive,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Bill , P.M. , CA ,3/26/2015,,#DIV/0!,,,,,,,,,,Not Bid,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-199,Hoag E-Power 'CH-1',Emergency Power,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Budget , Design/Build , Steve  , Est. , CA ,3/30/2015," $182,322 ",#DIV/0!,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-200,Kaiser Manhattan Beach MOB,MOB Rennovation,400 S. Sepulveda Blvd.,Manhattan Beach,CA, 11 LA ," 8,055 ", TI , Select Bid List , Design/Build , Rudy , Est. , CA ,4/27/2015," $663,345 ", $82 ," $12,000 ",,,,,,,,,Lost,2%, $- ,,,,,,,,,Swinerton,Scott Lauderdale,Layton Const.,Robb Allen,,,,,,,,,,,,,,,,,,,,
15-201,San Luis Rey Synchronous Condenser,SDG&E Facility,Telega Substation,Oceanside,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Steve  , Est. , CA ,4/3/2015," $373,778 ",#DIV/0!,,,,,,,,,,Lost,1%, $- ,,,,,,,,,"KGC,Inc.",J. Harwood,,,,,,,,,,,,,,,,,,,,,,
15-202,"UCI, Med Surg 2, Cadaver Freezer Hook Up",Provisions for new 600 s.f. freezer,,Irvine,CA, 441 OC , 600 , Specialty , Select Bid List , Engineered , Rudy , Est. , CA ,4/14/2015,, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,UC Irvine,Joe Kuttel,,,,,,,,,,,,,,,,,,,,,,
15-203,Pacific Life Car Charger Outlets,Tenant Improvement,700 Newport Center Dr.,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,3/31/2015," $2,759 ",#DIV/0!,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,Pacific Life,Perry Faneuf,,,,,,,,,,,,,,,,,,,,,,
15-204,Pacific Life Clock Outlets,Tenant Improvement,700 Newport Center Dr.,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,3/31/2015," $1,284 ",#DIV/0!,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,Pacific Life,Perry Faneuf,,,,,,,,,,,,,,,,,,,,,,
15-205,Swift Engineering Building B service issues,Transformer fuses blowing diagnostics,1141-A Via Callejon,San Clemente,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/3/2015," $7,400 ",#DIV/0!," $1,400 ",,,,,,,,,Not Built,2%, $- ,,,,,,,,,Swift Engineering,Steve Pascoe,,,,,,,,,,,,,,,,,,,,,,
15-206,Blizzard Swing Space ,Tenant Improvement,8 Pasteur,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,4/3/2015," $8,894 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,HBC,Nima Nadar,,,,,,,,,,,,,,,,,,,,,,
15-207,TIC ICD & SC,Tenant Improvement,,Irvine,CA, 441 OC ,, Site , Budget , Design/Build , Frank , Est. , CA ,4/7/2015," $3,055,231 ",#DIV/0!," $5,360,703 "," $3,014,665 "," $4,551,454 ",,,,,,,Not Built,5%, $- ,,,,,,,,,Snyder Langston,G. Hurlock,,,,,,,,,,,,,,,,,,,,,,
15-208,Pelican Hills Lobby & General Circulation,Lighting Retrofit,,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Jeff P. , Est. , CA ,4/16/2015," $21,350 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Cuesta Construction,David Clark,,,,,,,,,,,,,,,,,,,,,,
15-209,Gate Power for SCE yard ,Pull Tray cable for new gate power,8800 La Palma,Buena Park,CA, 441 OC ,, Site , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,4/7/2015," $6,030 ",#DIV/0!,,,,,,,,,,Lost,10%, $- ,,,,,,,,,KGC,Jerry Harwood,,,,,,,,,,,,,,,,,,,,,,
15-210,EMC2 Outlet extention,Extend circuit and add new outlet,135 Technology,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/8/2015," $1,478 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,EMC2,Miguel Pena,EMC2,Miguel Pena,,,,,,,,,,,,,,,,,,,,,,
15-211,First American UPS rack power,New UPS circuits to basement racks,9 First American Way,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,4/8/2015," $13,872 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,,,,,,First American ,Nick Aydelott,,,,,,,,,,,,,,,,,,,,,,
15-212,The Cheesecake Factory - Cerritos Mall,Restaurant ,,Cerritos,CA, 11 LA ," 12,175 ", Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,5/4/2015," $696,754 ", $57 ,,,,,,,,,,Lost,20%, $- ,,,,,,,,,GB Mannisto,John Ashton,,,,,,,,,,,,,,,,,,,,,,
15-213,Youngs Diner outlets for Coffee Machines,New Circuits for Coffee machines,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/9/2015," $1,788 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,Youngs Market,Toni West,Youngs Market,Toni West,,,,,,,,,,,,,,,,,,,,,,
15-214,Red-O Shell,,4340 La Jolla Village Dr.,San Deigo,CA,,, TI , Select Bid List , Design/Build , Steve  , Est. , CA ,4/15/2015," $435,737 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-215,Deutche Bank 4 load studies 7 days each,Four 7 day load studies,St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/14/2015," $4,990 ",#DIV/0!,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Deutche Bank,Brad Gaston,,,,,,,,,,,,,,,,,,,,,,
15-216,MetroCenter power shut down,Assist with power outage,535 Metro Center,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/14/2015," $1,200 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Deutche Bank,Brad Gaston,,,,,,,,,,,,,,,,,,,,,,
15-217,Bbraun 5 new conduit drops for overwrap lines,install 5 new conduit for overwrap lines,2525 MacGaw,Irvine,CA, 441 OC ,, Specialty , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/17/2015," $16,880 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Bbraun,Majid Shirazi,,,,,,,,,,,,,,,,,,,,,,
15-218,Pelican Hills Colliseum Water in main service,,Newport Coast,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/20/2015," $70,000 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,MPA,Mike Hazo,,,,,,,,,,,,,,,,,,,,,,
15-219,Coast Imaging New Circuit and outlet for IT room,New L6-30 outlet and circuit,27401 Los Altos,Mission Viejo,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/20/2015," $1,955 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-220,DSI install cf 3000 amp ATS,Install CF ATS and Gear,1500 S. Douglas,Anaheim,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,4/22/2015," $79,900 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,DSI,Brent Ciulei,DSI,Brent Ciulei,,,,,,,,,,,,,,,,,,,,,,
15-221,FDA - New Wall,Reconfigure ltg for new wall,19701 Fairchild,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Steve  , Est. , CA ,4/23/2015," $2,944 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,DBAC,Phin Banning,,,,,,,,,,,,,,,,,,,,,,
15-222,EMC2 Two new buss ducts with feeders,Two new buss ducts,135 Technology,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/23/2015," $55,026 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,EMC2,Miguel Pena,,,,,,,,,,,,,,,,,,,,,,
15-223,CBRE 91 LED pole light retrofit,Retrofit 91 pole heads,1500 S. Douglas,Anaheim,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/23/2015," $93,047 ",#DIV/0!," $(5,000)",,,,,,,,,Lost,2%, $- ,,,,,,,,,CBRE,Alison Konopsis,,,,,,,,,,,,,,,,,,,,,,
15-224,SpaceX Dragon / Triumph project,Dragon/Triumph project,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Engineered , Rudy , Est. , CA ,5/1/2015," $912,269 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,SpaceX,John Lordon,,,,,,,,,,,,,,,,,,,,,,
15-225,Epson Carson new printer circuit,New circuit to printer,18300 Central Ave,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,4/24/2015," $2,215 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Epson,Nia Smith,,,,,,,,,,,,,,,,,,,,,,
15-226,1833 Rockwell Collins Project,Tenant Improvement,1833 Alton Parkway,Irvine,CA, 441 OC ," 130,000 ", TI , Competitive , Engineered , Frank , Est. , CA ,6/14/2015," $1,883,000 ", $14 ,,,,,,,,,,Awarded,5%, $- ,,,,," $1,883,000 ",,,,HBC,Jim Scarp,,,,,,,,,,,,,,,,,,,,,,
15-227,1733 Rockwell Collins Project,Tenant Improvement,1733 Alton Parkway,Irvine,CA, 441 OC ," 130,000 ", TI , Budget , Design/Build , Frank , Est. , CA ,6/15/2015," $2,515,000 ", $19 ,,,,,,,,,,Awarded,5%, $- ,,,,," $2,515,000 ",,,,HBC,Jim Scarp,,,,,,,,,,,,,,,,,,,,,,
15-228,East County Detention Center,Fire Alarm,Riverside,,,,,, Select Bid List , Engineered , Ron , P.M. , CA ,5/1/2015," $1,575,000 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-229,Replace stairwell smoke detector,Replace Stairwell smoke detector,253 Dew Drop,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/4/2015, $450 ,#DIV/0!,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,Katie Sanders,Katie Sanders,,,,,,,,,,,,,,,,,,,,,,
15-230,First American MR16 lighting repair for main control room,Troubleshoot and repair lighting budget,9 First American Way,Santa Ana,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , S.P. , CA ,5/4/2015," $4,610 ",#DIV/0!,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,First American,Nick Aydolett,,,,,,,,,,,,,,,,,,,,,,
15-231,Mazda cubical relocation,Relocate data and power for cubicals,1421 Reynolds,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/6/2015," $2,720 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Mazda ,Ken Colgliano,,,,,,,,,,,,,,,,,,,,,,
15-232,Deutsche Bank,Tenant Improvement,1801 E. St. Andrews,Santa Ana,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,5/4/2015, $- ,#DIV/0!,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Turelk,Jim Bianco,,,,,,,,,,,,,,,,,,,,,,
15-233,Pyrocomm Propane Conduit and Power Project,Add New power and fiber raceways,2110 N. Gaffey St,San Pedro,CA, 11 LA ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/6/2015," $256,130 ",#DIV/0!,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Pyrocomm,Scott Kirkey,,,,,,,,,,,,,,,,,,,,,,
15-234,TWC new exterior lighting,Add new wall packs,7142 Chapman,Garden Grove,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,5/6/2015," $7,475 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Time Warner,CeCe Valles,,,,,,,,,,,,,,,,,,,,,,
